NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.279 201.3724 0.6193098 23.38 22.97705 1.106016 0.2774112 -135.426 0.04287908 -19.92728 -0.009132461 0.1917312 5 219225 MEDIUM 14.36949,0.0 -0.4029511658484177,-1.5193563187155448 0.09927744,0.1497103 -0.3650857,0.7397803
2 0.252 101.8591 0.6421396 23.69 23.99939 0.3483823 0.3347019 25.52791 0.05062601 -128.3008 0.04082133 0.08740423 1 237345 MEDIUM 1.844681,0.0 0.3093910070331069,-0.7472538065990795 -0.01254375,0.1664082 -0.07122425,0.2276845
2 0.18 206.538 0.6421396 22.21 21.4306 1.650017 0.5232997 26.79879 0.0371463 106.7272 -0.3032144 -0.09595114 2 236851 MEDIUM 0.0,17.77552 -0.7794010709651732,-1.270039507207096 -1.083048,0.5335135 -0.461659,-0.1310783
2 0.157 169.4338 0.6421396 24.42 23.83479 1.116451 0.4151321 87.18973 0.04986973 83.54392 -0.05530761 -0.1351489 3 236696 MEDIUM 0.0,5.717535 -0.8343419370395849,-0.5852126294524848 -0.1492576,0.4082428 -0.804293,0.1630007
2 0.535 195.8845 0.6619639 25.44 24.65852 0.3220552 0.2905462 123.5245 0.02551485 92.54166 0.01099238 0.02709631 3 255214 MEDIUM 4.501042,0.0 -0.781478368286791,-1.388139190451946 -0.1018656,-0.027126 -0.09893468,0.2143281
4 0.414 210.3778 0.6652912 24.98 24.06784 0.9167506 0.4675749 15.86091 0.08604388 170.4791 -0.0463148 0.07472683 2 257491 MEDIUM 13.68935,0.0,4.768113,5.887082 0.258735713053016,-0.9121641861783827,-1.4042176187572362,-1.0893330774096508 0.07884325,-0.5368942,0.3654451,0.01330154 -0.2590179,0.1048693,0.2667815,0.4176202
2 0.452 158.4893 0.6652912 25.08 24.65419 0.4124017 0.6380873 91.53802 0.06220692 175.5164 0.004156052 -0.1366523 2 257714 MEDIUM 0.0,10.12333 -0.5347130611625139,-0.42581493621600797 0.01738587,-0.001262858 -0.3347357,0.07724422
2 0.29 256.4484 0.6686251 23.75 23.43446 2.272974 0.7323314 -57.85887 0.122709 -82.51553 -0.2552749 0.6417907 1 259416 MEDIUM 0.0,105.345 -0.31554125937968514,-0.5456919862995677 -0.7019907,-0.05425188 1.814502,-0.3642244
2 0.203 153.4617 0.6686251 23.76 24.76756 0.8533726 0.1997649 -132.687 0.04490773 -178.8355 0.1903029 -0.2117789 5 258718 MEDIUM 0.0,8.920684 -1.2975251703507715,1.0075574511735843 0.5354978,-0.09473974 -0.4700978,0.1052676
2 0.31 141.2538 0.675313 23.73 24.63301 0.515452 0.4181002 -151.2243 0.07172329 -159.1289 0.01108275 0.1451172 5 265045 MEDIUM 6.075144,0.0 0.9030056348949458,-0.8487453695307827 0.0197221,0.2288751 -0.1083076,0.3628036
2 0.434 231.2065 0.678667 23.94 22.96089 1.030266 0.2117514 -13.72153 0.03221425 -28.48524 0.1823541 -0.03143259 2 268661 MEDIUM 0.0,29.4132 -0.9791114527609495,-1.273477473596907 0.6888691,-0.3249603 -0.1645691,0.01872655
2 0.34 188.3649 0.678667 24.0 24.39762 0.857215 0.1645957 -110.7587 0.04108656 75.1617 -0.2188878 0.04412309 2 268051 MEDIUM 16.59064,0.0 0.3976152552417265,-1.7559035574383552 0.2083055,-0.6417674 -0.04963568,0.0607892
2 0.529 161.808 0.6853951 25.65 24.18606 0.2961193 0.02872608 -108.4839 0.05203536 -7.099539 -0.02476825 0.01918779 4 274912 MEDIUM 2.82652,0.0 -1.4639388713960935,-1.6352810101919295 0.08005672,-0.1635488 -0.08430956,0.0840442
2 0.277 137.4042 0.6887692 24.05 23.89611 0.6062938 0.2345707 -6.95058 0.04462584 -78.15564 -0.07082032 0.1173645 3 276235 MEDIUM 4.944088,0.0 -0.15389317536684935,-1.1282799553186336 0.06174789,-0.2625388 -0.1503182,0.3619613
2 0.206 146.8926 0.6921502 25.39 24.65465 0.7763232 0.4214427 73.03595 0.05502371 -0.03288388 -0.08703793 -0.06016016 4 278648 MEDIUM 0.0,3.565972 -1.1101580740229644,-0.7353473726612787 -0.358755,0.3006911 -0.3860258,0.02361849
2 0.252 259.4179 0.6921502 24.0 24.62311 2.042131 0.4761601 15.06799 0.05173424 128.8842 0.1288934 -0.4406932 5 278961 MEDIUM 0.0,49.03394 -1.646176617145787,0.6231087969127859 1.042944,-0.1372253 -1.133523,0.5330599
2 0.182 189.6706 0.6955378 24.79 23.78725 1.465286 0.3010017 -75.76289 0.05921834 -129.3155 0.0835671 -0.2562211 2 281416 MEDIUM 0.0,12.6585 -1.002751849165079,-1.0432859716673561 0.1509655,-0.2438052 -1.008895,0.4022108
