NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.629 184.9269 2.052619 24.34 24.10685 1.118776 0.05772778 -179.8416 0.03291096 176.7441 -0.2111427 -0.140242 1 1746572 MEDIUM 0.0,33.89964 -1.1414934818698488,-0.2331522409892722 -0.7355857,0.2375622 -0.3648532,0.1870907
2 0.829 243.7811 1.353727 25.49 24.79555 1.032526 0.3499002 -89.49122 0.05043993 -29.55644 0.01838105 0.2378341 2 970186 MEDIUM 69.96048,0.0 -0.6944515162035069,-0.8799726730606788 -0.06674238,-0.03565554 -0.2766499,0.7554083
2 0.733 169.0441 1.459603 25.55 24.13754 0.65074 0.264268 15.10242 0.1030048 117.547 -0.005886062 0.04982449 3 1089463 MEDIUM 6.595906,0.0 -1.4124627505827756,-2.1251408032601833 0.002473356,-0.1658939 -0.2726024,0.3559793
2 0.808 230.6747 2.333424 25.75 24.77189 1.577369 0.3082113 -140.181 0.03375623 106.1254 0.1798329 0.2523358 1 2038599 MEDIUM 80.13236,0.0 -1.0860481754926459,-0.9781147179346834 -0.2192784,0.6480191 -0.4312673,0.8862633
4 0.533 285.7591 3.0552 26.88 24.23825 2.992107 0.18398 132.5926 0.05809184 62.5383 -0.07659489 0.01629184 2 2703522 MEDIUM 25.30344,0.0,7.62437,7.573788 -2.162419053763341,-2.6417505689495697,-4.365411956926334,-4.312332194601192 1.478014,-0.964817,-1.189203,-0.8576213 0.1725628,1.355428,-1.183408,-1.453071
2 0.428 271.0192 2.120521 25.04 24.69929 2.898466 0.5131321 -144.404 0.1302124 -76.9788 -0.6748181 -0.4798547 1 1816919 MEDIUM 0.0,168.6497 -0.7456400057216692,-0.3407135518518531 -1.544522,0.597562 -1.651325,0.3012582
2 1.134 81.09611 3.212263 25.11 24.21041 0.1690399 0.4408586 51.0743 0.09118515 -51.36891 -0.02008286 -0.03373879 2 2836467 MEDIUM 0.0,1.553859 -0.9089011577974832,-0.8995943952821743 -0.05469858,0.0222299 -0.1085154,0.04200535
2 0.537 187.4995 2.077138 24.64 24.79598 1.261345 0.0001593242 85.15825 0.01658309 -8.553436 -0.3104552 -0.1368561 1 1772158 MEDIUM 0.0,40.34416 -1.1040925409909388,0.15598350653825566 -0.9057344,0.2626029 -0.3555664,0.1198056
4 1.045 205.1162 1.637944 25.31 24.10493 0.5934635 0.4132524 131.4696 0.03047663 98.5791 -0.05990445 -0.01092369 2 1292800 MEDIUM 6.352511,17.25733,0.0,6.170668 -2.1205334688063764,-0.19751149259312595,-1.2050747261733294,-2.2420259999773515 -0.1661584,0.1903877,-0.3217746,-0.03257374 -0.2818941,0.1094109,0.1876946,-0.3305349
4 0.87 143.8799 1.316367 26.63 24.24033 0.3273413 0.2689801 -176.8929 0.04244257 -24.47904 0.03119164 -0.0009427453 4 928180 MEDIUM 3.499696,0.0,3.441488,3.443169 -2.3896659627740426,-1.1283525424485006,-4.0151554797732105,-3.7576556371624585 -0.106522,0.196219,-0.125572,-0.1112888 -0.0707284,-0.01558581,0.04443825,0.07295795
4 0.765 285.7591 2.089471 24.62 23.53242 2.509271 0.3484093 -80.44611 0.1211522 -109.8649 -0.2187661 0.1083055 5 1786609 MEDIUM 33.86797,40.04902,106.9307,0.0 -1.5603887568112953,-1.4093779737685654,-0.017110300785011284,-1.0875804260499768 -0.7592932,-1.156591,0.7485731,-0.3540644 -1.078694,-0.2720331,-0.1167156,1.397639
2 0.293 154.5254 1.238934 23.26 22.90929 0.9270065 0.2502886 -153.0475 0.02862364 17.3746 -0.1580226 0.05568526 2 837189 MEDIUM 8.280379,0.0 -0.35071295528245283,-1.1295017678948156 0.242911,-0.6617898 -0.1749138,0.02721883
4 1.047 334.195 2.927488 26.21 23.83265 2.670469 0.1838875 9.611256 0.06290792 -14.59383 -0.01160938 -0.268906 1 2597115 MEDIUM 5.223574,161.5326,0.0,0.7442286 -2.914525876832914,-0.6096740211608516,-2.3773451649568687,-2.467120162217596 -0.04287909,0.01915687,1.112466,-1.13347 -1.589279,1.080469,-1.244488,-1.158912
2 0.882 176.1976 2.058731 23.0 23.6102 0.7499705 0.2650953 30.4399 0.0482312 -9.601911 -0.1663306 0.1294816 2 1754792 MEDIUM 0.0,33.13363 -1.060670733493745,0.6101991501920679 -0.552322,0.1091561 0.2430375,-0.1103779
2 0.873 97.27472 1.138276 24.72 24.64802 0.097408 0.3176467 -110.907 0.03520784 153.6222 0.001556877 0.02743395 5 729210 MEDIUM 1.317118,0.0 -0.07197797683080885,-0.8682118230417237 0.001688899,0.007170196 -0.02191627,0.07533738
2 0.577 114.025 1.293319 23.89 23.92411 0.3422035 0.2713605 -9.46263 0.02015153 -20.57557 -0.07733973 -0.03805876 5 900386 MEDIUM 0.0,4.141705 -0.9345434307579116,0.03410798181537772 -0.2547068,0.06590659 -0.06582576,0.05379998
4 1.256 109.144 3.526731 23.89 23.06054 0.3002353 0.594457 71.21325 0.04865405 -54.42764 0.02747824 0.01863853 2 3079074 MEDIUM 1.899212,2.019264,3.282069,0.0 -1.5427743504444045,-1.0587282596761565,0.15096178506193142,-0.8294577249841716 0.04586295,0.1154773,-0.09430414,0.08169208 -0.1352992,-0.07773859,0.007329759,0.1627906
2 0.115 93.11079 1.559981 25.3 24.19193 0.4665078 0.0847816 -20.73693 0.05910461 -116.0926 -0.02751392 -0.06152402 1 1199052 MEDIUM 0.0,0.4922198 -1.3900484831850832,-1.1080682585477195 -0.1307984,0.06249833 -0.275499,0.1490783
4 0.868 143.8799 2.202719 25.47 24.14098 0.5592115 0.3601834 -168.9059 0.0571153 -0.2998924 -0.00175417 0.04605366 2 1905143 MEDIUM 5.382209,0.4425851,0.0,1.32407 -0.15232885297180465,-1.427950053360686,-1.3290168990720421,-1.3667911746659018 0.02307916,-0.2906304,0.2649027,-0.05706172 -0.1891511,0.1013942,0.165429,0.2718372
4 0.915 109.144 1.534509 25.7 24.47012 0.215752 0.2786199 172.7933 0.06261453 -37.66416 0.01405139 0.003481989 1 1174943 MEDIUM 1.164653,0.0,0.787406,0.8014432 -0.9585298271097684,-1.229882630735626,-2.4809414575118964,-2.2846978763376105 -0.04837234,0.123504,-0.07017349,-0.02689577 -0.06747823,-0.02055348,0.07451463,0.09598881
2 0.144 137.7209 1.685857 25.34 24.43811 0.9018664 0.1423343 35.7997 0.0566827 94.62245 -0.1196575 -0.01964639 1 1341478 MEDIUM 0.0,2.2573 -1.775538257838286,-0.9018900172723978 -0.5304402,0.3412522 -0.2313078,2.583006e-05
2 0.417 118.0321 0.6031974 25.22 24.48184 0.2514161 0.1160479 -98.71877 0.1138681 88.07855 0.005047576 0.05665669 2 207635 MEDIUM 2.453897,0.0 -0.7625600506642349,-0.7381555429943055 -0.005865596,0.01364037 -0.06126281,0.1893955
2 0.637 116.681 2.01018 26.64 23.90445 0.4346347 0.09497024 -179.8634 0.02492404 -87.62475 0.001483925 -0.01238734 2 1700971 MEDIUM 0.6645282,0.0 -2.735552229402887,-3.45551238979286 -0.01322504,0.04686844 0.2046758,-0.2257845
2 1.236 127.6439 1.729177 24.0 23.25952 0.1944565 0.356429 -83.02794 0.0256241 -58.68783 0.007268728 -0.04524363 2 1395380 MEDIUM 0.0,5.139145 -0.7404806343784748,-0.9734721172067174 0.02611067,-0.007920294 -0.1415657,0.04988992
4 0.701 117.2195 1.648517 24.83 23.69877 0.3545011 0.4186787 -169.4662 0.0197084 -10.0579 -0.02106285 0.02327483 1 1302790 MEDIUM 2.326119,0.0,1.010119,1.054393 -0.25752923529400706,-1.1312283078808432,-2.094488117459402,-1.9020790706643507 0.04175303,-0.2142941,0.1282491,0.03824918 -0.1243946,0.03992155,0.131219,0.1767695
4 0.587 365.5948 2.721028 26.71 24.68803 5.305666 0.01334351 -147.4059 0.08840745 133.027 -0.07475757 -0.04650358 2 2409629 MEDIUM 9.231483,38.05109,76.38814,0.0 -2.120331098508423,-2.11611000557931,-1.620538136407661,-2.0219711934189126 1.425737,-1.606803,1.645779,-2.198261 -2.272253,-1.717712,1.44954,1.602889
2 0.611 220.2926 1.544668 25.28 24.32118 1.34901 0.2783439 -5.705305 0.05914572 167.6131 0.1722039 0.04100557 1 1184583 MEDIUM 37.56568,0.0 -0.9588230291099573,-0.9771144185597112 -0.3475677,0.9441102 -0.3794062,0.009688786
2 0.728 183.6538 1.29791 24.8 24.52592 0.6409841 0.1996637 -167.2678 0.02972583 1.449852 0.07190222 -0.0870978 2 906662 MEDIUM 0.0,16.60139 -1.4256878978975174,-0.27407543312420296 0.3830394,-0.103687 -0.2336564,0.1834263
2 0.618 260.016 1.986195 25.33 24.34768 2.22567 0.2657591 97.09719 0.05034786 -117.0292 -0.1497321 -0.304466 1 1675124 MEDIUM 0.0,95.9762 -1.0194775473240394,-0.9823189449748971 -0.4527374,0.5901773 -1.458743,0.5074555
4 0.743 88.10489 3.145403 24.75 24.50332 0.3169213 0.5823312 27.35343 0.113573 44.64891 0.01615053 0.02282817 2 2780011 MEDIUM 1.554061,1.067267,1.2813,0.0 0.3818937636434378,-1.048832018252662,-0.24667852261283138,-0.591725990866074 0.02705276,-0.1198149,-0.07556272,0.1474733 -0.08172964,-0.05029901,0.07224522,0.1199835
2 1.242 159.2209 1.729177 24.72 24.6608 0.2673846 0.3170505 -117.2846 0.04165372 -109.1985 0.05224332 0.02210977 2 1395396 MEDIUM 9.866106,0.0 -0.059195780473113316,-0.9349790289188719 -0.07730182,0.1512333 -0.005335329,0.1334675
2 0.802 165.1962 1.89215 24.63 24.64692 0.7296445 0.2236483 7.40339 0.03515096 -144.0736 -0.2097927 -0.008056574 5 1574083 MEDIUM 0.0,28.15056 -0.7935933323057964,0.0169207771000474 -0.5755507,0.1510138 -0.07080991,-0.003839413
