NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID TIER DELAY MAG XIMG YIMG
2 0.121 379.315 3.392946 24.68 24.47547 7.871602 0.3002171 -162.4885 0.04375624 -47.63249 1.894911 -0.51011 5 2974088 MEDIUM 0.0,248.8866 -0.910977826392313,-0.20452631049592038 5.839106,-1.751677 -1.211831,0.8719443
2 0.275 143.8799 2.546638 24.43 23.71778 1.036788 0.4529565 153.5762 0.07991552 -149.7608 0.237361 -0.06136405 2 2244730 MEDIUM 0.0,10.00637 -0.7122206260849306,-1.1443278843625706 0.7528999,-0.2689263 -0.1387423,0.03675741
4 0.483 118.0321 2.022245 25.9 24.7517 0.5383689 0.4554906 -138.9519 0.04744588 -78.94023 -0.03152818 -0.01066681 1 1712909 MEDIUM 0.0,1.996966,1.447924,1.267128 -1.1483040188218603,-0.7195373441358827,-1.2904569285207235,-1.7838863712792206 -0.2277628,0.1808864,-0.1156662,0.0970195 -0.1972265,-0.1070099,0.2161935,0.2321423
2 0.999 168.2674 1.729177 24.69 24.43373 0.4770544 0.3131475 -26.06308 0.0439178 -46.30566 0.02215021 -0.07849293 2 1394690 MEDIUM 0.0,14.05873 -1.017698481460736,-0.25626949249413156 0.2029568,0.01424184 -0.2807965,0.1573446
2 0.348 206.538 1.177114 25.29 24.64703 1.570111 0.2876028 13.82698 0.08752832 -81.09119 0.1122815 -0.1995534 2 768630 MEDIUM 0.0,22.66187 -1.8301832730864724,-0.6429744464918834 0.4610467,-0.2371972 -0.9224459,0.4838623
2 0.769 105.6818 2.669297 26.12 24.63699 0.3517076 0.1151458 67.00559 0.03157796 85.07428 0.008196953 -0.03495977 5 2363037 MEDIUM 0.0,1.931488 -1.4830060324017438,-1.5124705203575106 0.007431026,-0.07403955 -0.2204874,0.1216541
2 0.557 164.4372 1.570242 24.55 24.65085 0.9414583 0.481251 -126.4774 0.08933207 13.69152 -0.2319248 -0.2100155 2 1213226 MEDIUM 0.0,32.93495 -0.5025124743539084,0.10084931457350081 -0.6248261,0.1135273 -0.5027186,0.08138576
4 0.246 183.2314 0.7789085 25.44 24.71737 1.278206 0.5464211 150.5245 0.04274009 -163.1445 -0.03661335 -0.08435834 2 355848 MEDIUM 2.289467,0.0363776,0.0,6.548774 -0.7226255232446306,-1.1326266163154601,-1.0835140242358094,0.17565451599166435 -0.2683486,0.4832341,-0.6911941,0.185127 -0.5383784,-0.4670808,0.03742869,0.3750625
2 0.822 198.1527 1.974274 24.91 24.11086 0.9762906 0.1665552 -153.593 0.06042598 142.2807 0.1347748 0.09356473 1 1663675 MEDIUM 30.35553,0.0 -0.7991431844069647,-1.4080763062825774 -0.2448666,0.598709 -0.2247676,0.2666828
4 1.039 127.9381 1.637944 25.34 24.30351 0.2586902 0.4166101 152.8085 0.02499613 166.8345 -0.009779729 0.01726321 1 1292784 MEDIUM 2.527546,1.585956,0.0,1.681039 -0.48277669609113,-1.8926576082561042,-1.0364938016880565,-1.5445002794948617 -0.01887284,0.1202204,-0.1228483,0.0878736 -0.09241913,0.0002393361,0.08877295,0.07613743
